speaker,source,segment_id,timestamp,text
"Speaker 1",system_audio,"b2241a8f-8423-4c0b-b58f-1ce362b9128e",2026-05-16T19:36:02,"Occhi aperti ragazzi, armi pronte. Se qualcuno si avvicina, sparate. Riccevuto."
"Speaker 1",system_audio,"144818df-3a26-4835-ae71-bd28d154d67c",2026-05-16T19:36:14,"Quindi dovremmo sparargli e basta. Bella domanda. Se fosse qualcuno come noi. Se Aaron dicesse la verità. Se non avesse niente a che fare con tutto questo."
"Speaker 1",system_audio,"444db508-c193-494e-a742-e7169b1b6fa3",2026-05-16T19:36:29,"Siamo cinque persone che camminano armate. Nessuno verrà a salutarci. Ma è proprio quello che è successo. Se fosse come noi, dovremmo averne paura. Ha detto che c'è s..."
"Speaker 1",system_audio,"5fb612de-b002-4c29-8f14-9d56add35ddd",2026-05-16T19:36:44,"che aveva giusto quindi ieri ci avviste dopo quello che abbiamo fatto per"
"Speaker 1",system_audio,"426e0c50-2e83-4e90-b63c-48a7ec4e69cd",2026-05-16T19:37:29,"Che ci vorrebbe nel suo gruppo? Persone come noi hanno salvato un pretè, salvato una ragazza che è arrivata alla prigione con il governatore."
"Speaker 1",system_audio,"4abf4772-cfbe-43ad-a0cb-6950c8df5047",2026-05-16T19:37:44,"Salvato una donna pazza con la spada. È questo che è visto. Non so cosa abbia visto."
"Speaker 1",system_audio,"4e0fee68-273c-4e9e-bb15-bba8082c271f",2026-05-16T19:38:14,"C'era un barattolo di marmellata di mele nel mio zaino, giusto? Non è un trucco. Non cerco di entrare nelle tue grazie e auto conservazione. Perché se i vaganti la sentono e vengono da questa parte..."

timestamp,description,assignee,status

